1;versionCode;3;3;3;;parametresGeneraux;;False;parameters
2;code;1;2;3;;parametresGeneraux;;False;parameters
3;fichMotsCles;mascaret.xcas;mascaret.xcas;mascaret.xcas;;parametresGeneraux;;False;parameters
4;dictionaire;dico.txt;dico.txt;dico.txt;;parametresGeneraux;;False;parameters
5;progPrincipal;princi.f;princi.f;princi.f;;parametresGeneraux;;False;parameters
6;sauveModele;FALSE;FALSE;FALSE;;parametresGeneraux;;False;parameters
7;fichSauvModele;mascaret.tmp;mascaret.tmp;mascaret.tmp;;parametresGeneraux;;False;parameters
8;validationCode;FALSE;FALSE;FALSE;;parametresGeneraux;;False;parameters
9;typeValidation;1;1;1;;parametresGeneraux;;False;parameters
10;presenceCasiers;FALSE;FALSE;FALSE;Presence of storage area;parametresGeneraux;;True;parameters
11;bibliotheque;mascaretV5P1.a damoV3P0.a;mascaretV5P1.a damoV3P0.a;mascaretV5P1.a damoV3P0.a;;parametresGeneraux;bibliotheques;False;parameters
12;perteChargeConf;FALSE;FALSE;FALSE;Automatic head losses at junctions;parametresModelePhysique;;True;parameters
13;compositionLits;1;1;1;Cross section layout;parametresModelePhysique;;True;parameters
14;conservFrotVertical;TRUE;TRUE;TRUE;Conservation of friction on vertical walls;parametresModelePhysique;;True;parameters
15;elevCoteArrivFront;0.05;0.05;0.05;Level threshold identifying the wave;parametresModelePhysique;;True;parameters
16;interpolLinStrickler;FALSE;FALSE;FALSE;Linear interpolation of friction coefficients;parametresModelePhysique;;True;parameters
17;litMajeur;TRUE;TRUE;TRUE;Progressive overflow type  of major river bed;parametresModelePhysique;debordement;True;parameters
18;zoneStock;TRUE;TRUE;TRUE;Progressive overflow type  of storage area;parametresModelePhysique;debordement;True;parameters
19;calcOndeSubmersion;FALSE;FALSE;FALSE;Computation of a dam break flood wave;parametresNumeriques;;True;parameters
20;decentrement;FALSE;FALSE;FALSE;;parametresNumeriques;;True;parameters
21;froudeLimCondLim;1000;1000;1000;Limit Froude number for boundary conditions;parametresNumeriques;;True;parameters
22;traitImplicitFrot;FALSE;FALSE;FALSE;Impliciation of friction;parametresNumeriques;;True;parameters
23;hauteurEauMini;0.005;0.005;0.005;Minimum water level;parametresNumeriques;;False;parameters
24;implicitNoyauTrans;FALSE;FALSE;FALSE;Implicitation of the super-critical kernel;parametresNumeriques;;True;parameters
25;optimisNoyauTrans;FALSE;FALSE;FALSE;Optimization of the super-critical kernel;parametresNumeriques;;True;parameters
26;perteChargeAutoElargissement;FALSE;FALSE;FALSE;Automatic head loss in case of enlargement;parametresNumeriques;;True;parameters
27;termesNonHydrostatiques;FALSE;FALSE;FALSE;Non-hydrostsatic terms for super-critical kernel;parametresNumeriques;;True;parameters
28;apportDebit;0;0;0;;parametresNumeriques;;False;parameters
29;attenuationConvection;FALSE;FALSE;FALSE;Reduced momentum equation;parametresNumeriques;;True;parameters
30;pasTemps;60;60;60;Time step;parametresTemporels;;True;parameters
31;tempsInit;0;0;0;Initial time;parametresTemporels;;True;parameters
32;critereArret;2;1;1;Criteria for stopping calculations;parametresTemporels;;True;parameters
33;nbPasTemps;2;2;2;Max number of time steps;parametresTemporels;;True;parameters
34;tempsMax;1897200;1897200;1897200;Max time;parametresTemporels;;True;parameters
35;pasTempsVar;FALSE;FALSE;FALSE;Variable time step depending on the Courant number;parametresTemporels;;True;parameters
36;nbCourant;0.8;0.8;0.8;Courant number;parametresTemporels;;True;parameters
37;coteMax;0;0;0;Max control water level;parametresTemporels;;True;parameters
38;abscisseControle;0;0;0;Control point abscissa;parametresTemporels;;True;parameters
39;biefControle;1;1;1;Control point  reach;parametresTemporels;;True;parameters
40;fichier;mascaret.geo;mascaret.geo;mascaret.geo;;parametresGeometrieReseau;geometrie;False;parameters
41;format;2;2;2;;parametresGeometrieReseau;geometrie;False;parameters
42;profilsAbscAbsolu;TRUE;TRUE;TRUE;Cross section in absolute abscissa;parametresGeometrieReseau;geometrie;False;parameters
43;repriseCalcul;FALSE;FALSE;FALSE;Restart the computation;parametresConditionsInitiales;repriseEtude;True;parameters
44;LigEauInit;FALSE;TRUE;TRUE;Presence of an initial water level;parametresConditionsInitiales;ligneEau;True;parameters
45;modeEntree;1;1;1;;parametresConditionsInitiales;ligneEau;False;parameters
46;fichLigEau;mascaret.lig;mascaret.lig;mascaret.lig;File name of  water level;parametresConditionsInitiales;ligneEau;False;parameters
47;formatFichLig;2;2;2;File format of  water level;parametresConditionsInitiales;ligneEau;False;parameters
48;titreCalcul;Etude hydraulique1d;Etude hydraulique1d;Etude hydraulique1d;;parametresImpressionResultats;;False;parameters
49;impressionGeometrie;FALSE;FALSE;FALSE;Geometry;parametresImpressionResultats;impression;True;parameters
50;impressionPlanimetrage;FALSE;FALSE;FALSE;Vertical discretization of the Cross section;parametresImpressionResultats;impression;True;parameters
51;impressionReseau;FALSE;FALSE;FALSE;Network;parametresImpressionResultats;impression;True;parameters
52;impressionLoiHydraulique;FALSE;FALSE;FALSE;Hydraulic laws used;parametresImpressionResultats;impression;True;parameters
53;impressionligneEauInitiale;FALSE;FALSE;FALSE;Initial water level;parametresImpressionResultats;impression;True;parameters
54;impressionCalcul;TRUE;TRUE;TRUE;Write the listing along with computation progress;parametresImpressionResultats;impression;True;parameters
55;premPasTpsStock;1;1;1;Number of the first time step;parametresImpressionResultats;pasStockage;True;parameters
56;pasStock;1;60;60;Write data all N time steps;parametresImpressionResultats;pasStockage;True;parameters
57;pasImpression;1;60;60;Write to the listing file all data all N time steps;parametresImpressionResultats;pasStockage;True;parameters
58;fichResultat;mascaret.opt;mascaret.opt;mascaret.opt;;parametresImpressionResultats;resultats;False;parameters
59;postProcesseur;2;2;2;Postprocesseur;parametresImpressionResultats;resultats;False;parameters
60;fichListing;mascaret.lis;mascaret.lis;mascaret.lis;;parametresImpressionResultats;listing;False;parameters
61;fichRepriseEcr;mascaret.rep;mascaret.rep;mascaret.rep;;parametresImpressionResultats;fichReprise;False;parameters
62;ecartInterBranch;1;1;1;Distance between reaches (m);parametresImpressionResultats;rubens;True;parameters
63;option;1;1;1;Recorded Variables;parametresImpressionResultats;stockage;True;parameters
64;resultatCasier;mascaret.cas_opt;mascaret.cas_opt;mascaret.cas_opt;;parametresImpressionResultats;casier;False;parameters
65;listingCasier;mascaret.cas_lis;mascaret.cas_lis;mascaret.cas_lis;;parametresImpressionResultats;casier;False;parameters
66;resultatLiaison;mascaret.liai_opt;mascaret.liai_opt;mascaret.liai_opt;;parametresImpressionResultats;casier;False;parameters
67;listingLiaison;mascaret.liai_lis;mascaret.liai_lis;mascaret.liai_lis;;parametresImpressionResultats;casier;False;parameters
68;variablesCalculees;false false false false false false false false false false false false false false false;false false false false false false false false false false false false false false false;false false false false false false false false false false false false false false false;;parametresVariablesCalculees;;False;parameters
69;variablesStockees;false false false false false true true true false false true false false false false false false false false false false false true false false false false false false false true false false false false false false false false true false false;false false false false false true true true false false true false false false false false false false false false false false true false false false false false false false true false false false false false false false false true false false;false false false false false true true true false false true false false false false false false false false false false false true false false false false false false false true false false false false false false false false true false false;Write the results;parametresVariablesStockees;;False;parameters
