id;type_res;var;name;type_var
1;opt;ZREF;Bottom elevation;float
2;opt;RGC;Left bank water level;float
3;opt;RDC;Right bank water level;float
4;opt;KMIN;Minor friction coefficient;float
5;opt;KMAJ;Major friction coefficient;float
6;opt;Z;Water level;float
7;opt;QMIN;Flow rate in minor river bed;float
8;opt;QMAJ;Flow rate in major river bed;float
9;opt;S1;Wetted area of minor river bed;float
10;opt;S2;Wetted area of major river bed;float
11;opt;FR;Froude number;float
12;opt;BETA;Coefficient beta of Debord's formula;float
13;opt;B1;Surface width of minor river bed;float
14;opt;B2;Surface width of major river bed;float
15;opt;BS;Surface width of storage area;float
16;opt;P1;Wetted perimeter of minor river bed;float
17;opt;P2;Wetted perimeter of major river bed;float
18;opt;RH1;Hydaulic radius of minor river bed;float
19;opt;RH2;Hydaulic radius of major river bed;float
20;opt;VMIN;Velocity of minor river bed;float
21;opt;VMAJ;Velocity of major river bed;float
22;opt;TAUF;Bottom shear stress;float
23;opt;Y;Water depth;float
24;opt;HMOY;Average water depth;float
25;opt;Q2G;Flow rate in left major river bed;float
26;opt;Q2D;Flow rate in right major river bed;float
27;opt;SS;Wetted area of storage area;float
28;opt;VOL;Cumulative volume of the active river bed;float
29;opt;VOLS;Cumulative volume of the storage area;float
30;opt;CHAR;Hydraulic head;float
31;opt;ZMAX;Maximal water level;float
32;opt;TZMA;Date of maximal water level;float
33;opt;VZMX;Velocity for the maximal water level;float
34;opt;ZMIN;Minimal water level;float
35;opt;TZMI;Date of minimal water level;float
36;opt;VINF;Minimum minor river bed velocity;float
37;opt;VSUP;Maximum minor river bed velocity;float
38;opt;BMAX;Maximum surface width;float
39;opt;TOND;Arrival time of the floodwave;float
40;opt;QMAX;Maximum flow rate;float
41;opt;TQMA;Date of maximum flow rate;float
42;opt;EMAX;Maximum energy;float
43;opt;ATOT;Total wetted area;float
44;basin;ZCAS;Basin water level;float
45;basin;SURCAS;Basin area;float
46;basin;VOLCAS;Basin volume;float
47;link;QECH;Link flow rate;float
48;link;VECH;Link velocity;float
49;opt;Q;Flow rate;float
50;tracer_O2;O2;Dissolved oxygen;float
51;tracer_O2;LOR;Organic load;float
52;tracer_O2;NH4;Ammonia load;float
53;tracer_BIOMASS;PHY;Phytoplankton biomass;float
54;tracer_BIOMASS;PO4;Assimilable mineral phosphorus;float
55;tracer_BIOMASS;POR;Non-assimilable mineral phosphorus;float
56;tracer_BIOMASS;NO3;Assimilable mineral nitrogen;float
57;tracer_BIOMASS;NOR;Non-assimilable mineral nitrogen;float
58;tracer_EUTRO;PHY;Phytoplankton biomass;float
59;tracer_EUTRO;PO4;Assimilable mineral phosphorus;float
60;tracer_EUTRO;POR;Non-assimilable mineral phosphorus;float
61;tracer_EUTRO;NO3;Assimilable mineral nitrogen;float
62;tracer_EUTRO;NOR;Non-assimilable mineral nitrogen;float
63;tracer_EUTRO;NH4;Ammonia load;float
64;tracer_EUTRO;LOR;Organic load;float
65;tracer_EUTRO;O2;Dissolved oxygen;float
66;tracer_THERMIC;TEAU;Water temperature;float
67;tracer_MICROPOLE;MES;Suspended material;float
68;tracer_MICROPOLE;SED;Sediments;float
69;tracer_MICROPOLE;C_EAU;Concentration in water;float
70;tracer_MICROPOLE;C_MES;Concentration in suspended material;float
71;tracer_MICROPOLE;C_SED;Concentration in sediments;float
72;struct;ZSTR;valve movement;float
73;weirs;ZSTR;valve movement;float
74;link_fg;ZLINK;Gate movement;float
75;link_fg;CSECLINK;Opening section of Gate for culvert;float
76;link_fg;REGVAR;Variable of regulation;float
77;link_fg;WIDTHLINK;The width gate;float
