mehtod;bradley;;;;;;
name;dKs_casA_abac;;;;;;
M;phi=0;phi=10;phi=20;phi=30;phi=40;phi=45;phi>45
0.000;0.000;-0.100;-0.199;-0.348;-0.501;-0.599;-0.599
0.300;0.000;-0.100;-0.199;-0.348;-0.501;-0.599;-0.599
0.350;0.000;-0.079;-0.161;-0.297;-0.435;-0.511;-0.511
0.400;0.000;-0.063;-0.131;-0.253;-0.375;-0.434;-0.434
0.500;0.000;-0.040;-0.086;-0.180;-0.271;-0.308;-0.308
0.600;0.000;-0.026;-0.056;-0.123;-0.186;-0.212;-0.212
0.700;0.000;-0.015;-0.034;-0.079;-0.120;-0.140;-0.140
0.800;0.000;-0.008;-0.018;-0.044;-0.068;-0.085;-0.085
0.900;0.000;-0.002;-0.006;-0.018;-0.029;-0.040;-0.040
1.000;0.000;-0.001;0.000;-0.002;-0.002;0.000;0.000
1.000;0.000;-0.001;0.000;-0.002;-0.002;0.000;0.000
