mehtod;bradley;;;;;;;
name;s_abac;;;;;;;
M;1;2;3;4;5;6;7;8
0.200;0.300;0.300;0.400;0.400;0.450;0.450;0.480;0.520
0.300;0.400;0.440;0.490;0.490;0.530;0.530;0.580;0.615
0.400;0.520;0.540;0.600;0.590;0.630;0.630;0.670;0.705
0.500;0.630;0.651;0.695;0.695;0.720;0.720;0.758;0.785
0.600;0.740;0.760;0.790;0.790;0.808;0.808;0.840;0.852
0.700;0.830;0.850;0.870;0.870;0.882;0.882;0.900;0.912
0.800;0.910;0.920;0.930;0.930;0.940;0.940;0.950;0.960
0.900;0.965;0.968;0.970;0.970;0.980;0.980;0.985;0.988
1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
